"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 23:08:21 IST 2024","Fri Jul 26 23:08:23 IST 2024","2476","Chrome","MultiLoginTest.spec.js","","","","SwagTest in Negative",""
"passed","Fri Jul 26 23:08:24 IST 2024","Fri Jul 26 23:08:26 IST 2024","1302","Chrome","MultiLoginTest.spec.js","","","","SwagTest in Postive",""
"passed","Fri Jul 26 23:02:33 IST 2024","Fri Jul 26 23:02:34 IST 2024","1509","Firefox","MultiLoginTest.spec.js","","","","SwagTest in Postive",""
"passed","Fri Jul 26 23:02:29 IST 2024","Fri Jul 26 23:02:32 IST 2024","3208","Firefox","MultiLoginTest.spec.js","","","","SwagTest in Negative",""
